31,2
211,3
43,2
331,3
2311,4
7,1
7,1
2731,4
421,3
3571,4
463,3
61,2
547,3
67,2
4621,4
571,3
4831,4
71,2
43891,5
46411,5
631,3
661,3
51871,5
6007,4
6091,4
691,3
79,2
6271,4
9,1
62791,5
7411,4
7591,4
72931,5
859,3
8191,4
78541,5
8581,4
84631,5
8779,4
911,3
8971,4
870871,6
9241,4
9283,4
91771,5
903211,6
92821,5
930931,6
967,3
9661,4
9871,4
991,3
102103,5
1021,3
106261,5
106591,5
103,2
10627,4
108571,5
1051,3
10711,4
1138831,6
11131,4
1193011,6
1093,3
11311,4
117811,5
1231231,6
11551,4
120121,5
1123,3
13123111,7
11731,4
1272811,6
11971,4
128311,5
12211,4
1360591,6
1171,3
12391,4
1381381,6
131671,5
14804791,7
12541,4
1411411,6
133981,5
135661,5
1452991,6
138139,5
1492261,6
140071,5
1504231,6
1231,3
16546531,7
13399,4
145861,5
13567,4
17160991,7
149731,5
1623931,6
150151,5
1647031,6
1291,3
14071,4
153511,5
1303,3
14281,4
14323,4
157081,5
18888871,7
14431,4
158341,5
158731,5
1741741,6
1321,3
1327,3
11,1
11,1
161071,5
162691,5
163021,5
14821,4
1806421,6
164011,5
20030011,7
1831831,6
1861861,6
168631,5
15331,4
1381,3
171571,5
15511,4
15541,4
1939939,6
21951931,7
1967071,6
175891,5
2012011,6
15991,4
180181,5
1429,3
127,2
23393371,7
2081311,6
16381,4
185641,5
186187,5
2114971,6
187531,5
2134861,6
188791,5
189421,5
1471,3
2181271,6
16831,4
192271,5
1483,3
16927,4
194371,5
2230411,6
25555531,7
25571911,7
2238391,6
131,2
197341,5
198031,5
17291,4
2277661,6
2282281,6
26193091,7
300690391,8
17431,4
200971,5
17491,4
2323231,6
202021,5
26996971,7
1531,3
2348347,6
2372371,6
2381191,6
17851,4
207061,5
207481,5
27999511,7
18061,4
2437891,6
28318291,7
210631,5
2459731,6
2478631,6
213181,5
214831,5
214891,5
340510171,8
18481,4
217771,5
1597,3
18691,4
219451,5
2574391,6
2582581,6
358888531,8
2624623,6
2631091,6
224071,5
2645371,6
19141,4
31293571,7
2661331,6
2672671,6
227011,5
2677291,6
227371,5
31651621,7
139,2
2691781,6
19381,4
2699971,6
229711,5
19471,4
19531,4
2738191,6
232051,5
2762761,6
2771341,6
234781,5
33093061,7
235621,5
19867,4
19891,4
33418771,7
397687291,8
20011,4
2831011,6
20021,4
406816411,8
2866711,6
